PAISSUENO,PAISSUEDATE,PAISSUELINENO,SONUMBER,SOLINENO,LINCODE7,PACKID,PACKBARCODE,PACKTYPE,PAISSUEQTY
0420-MSO-00001,13/09/2017,1,0420-MSO-00001,1,B064421,90004,1064421900041,BH,1
0420-MSO-00001,13/09/2017,2,0420-MSO-00001,2,B064422,90005,1064422900057,BH,1
0420-MSO-00001,13/09/2017,3,0420-MSO-00001,3,B064423,90005,1064423900056,BH,1
0420-MSO-00001,13/09/2017,4,0420-MSO-00001,4,B110807,90005,1110807900058,BH,1
0420-MSO-00001,13/09/2017,5,0420-MSO-00001,5,B110808,90007,1110808900071,BH,1
0420-MSO-00001,13/09/2017,6,0420-MSO-00001,6,B153088,90006,1153088900065,BH,1
0420-MSO-00001,13/09/2017,7,0420-MSO-00001,7,B153089,90007,1153089900071,BH,1
0420-MSO-00001,13/09/2017,8,0420-MSO-00001,8,B153168,90006,1153168900060,BH,1
0420-MSO-00001,13/09/2017,9,0420-MSO-00001,9,B153169,90007,1153169900076,BH,1
0420-MSO-00001,13/09/2017,10,0420-MSO-00001,10,B153212,90006,1153212900060,BH,1
0420-MSO-00001,13/09/2017,11,0420-MSO-00001,11,B153213,90007,1153213900076,BH,1
0420-MSO-00001,13/09/2017,12,0420-MSO-00001,12,B153240,90006,1153240900063,BH,1
0420-MSO-00001,13/09/2017,13,0420-MSO-00001,13,B153241,90007,1153241900079,BH,1
0420-MSO-00001,13/09/2017,14,0420-MSO-00001,14,B290006,90005,1290006900056,B,1
0420-MSO-00001,13/09/2017,15,0420-MSO-00001,15,B290008,90005,1290008900054,B,1
0420-MSO-00001,13/09/2017,16,0420-MSO-00001,16,B362749,90005,1362749900058,BH,1
0420-MSO-00001,13/09/2017,17,0420-MSO-00001,17,B362750,90005,1362750900054,BH,1
0420-MSO-00001,13/09/2017,18,0420-MSO-00001,18,B362751,90005,1362751900053,BH,1
0420-MSO-00001,13/09/2017,19,0420-MSO-00001,19,B362752,90005,1362752900052,BH,1
0420-MSO-00001,13/09/2017,20,0420-MSO-00001,20,B362913,90008,1362913900082,BH,1
0420-MSO-00001,13/09/2017,21,0420-MSO-00001,21,B362984,90004,1362984900042,BH,1
0420-MSO-00001,13/09/2017,22,0420-MSO-00001,22,B362985,90005,1362985900058,BH,1
0420-MSO-00001,13/09/2017,23,0420-MSO-00001,23,B363048,90005,1363048900053,BH,1
0420-MSO-00001,13/09/2017,24,0420-MSO-00001,24,B363049,90005,1363049900052,BH,1
0420-MSO-00001,13/09/2017,25,0420-MSO-00001,25,B363050,90005,1363050900058,BH,1
0420-MSO-00001,13/09/2017,26,0420-MSO-00001,26,B363051,90005,1363051900057,BH,1
0420-MSO-00001,13/09/2017,27,0420-MSO-00001,27,B363056,90005,1363056900052,BH,1
0420-MSO-00001,13/09/2017,28,0420-MSO-00001,28,B363057,90005,1363057900051,BH,1
0420-MSO-00001,13/09/2017,29,0420-MSO-00001,29,C017766,90006,2017766900060,BH,1
0420-MSO-00001,13/09/2017,30,0420-MSO-00001,30,C017769,90006,2017769900067,BH,1
0420-MSO-00001,13/09/2017,31,0420-MSO-00001,31,C017879,90006,2017879900063,BH,1
0420-MSO-00001,13/09/2017,32,0420-MSO-00001,32,C017902,90006,2017902900060,BH,1
0420-MSO-00001,13/09/2017,33,0420-MSO-00001,33,C018003,90005,2018003900058,BH,1
0420-MSO-00001,13/09/2017,34,0420-MSO-00001,34,C018004,90005,2018004900057,BH,1
0420-MSO-00001,13/09/2017,35,0420-MSO-00001,35,C018047,90005,2018047900052,BH,1
0420-MSO-00001,13/09/2017,36,0420-MSO-00001,36,C018048,90005,2018048900051,BH,1
0420-MSO-00001,13/09/2017,37,0420-MSO-00001,37,C018086,90005,2018086900051,BH,1
0420-MSO-00001,13/09/2017,38,0420-MSO-00001,38,C018087,90005,2018087900050,BH,1
0420-MSO-00001,13/09/2017,39,0420-MSO-00001,39,C018088,90005,2018088900059,BH,1
0420-MSO-00001,13/09/2017,40,0420-MSO-00001,40,C018089,90005,2018089900058,BH,1
0420-MSO-00001,13/09/2017,41,0420-MSO-00001,41,C018090,90005,2018090900054,BH,1
0420-MSO-00001,13/09/2017,42,0420-MSO-00001,42,C018091,90005,2018091900053,BH,1
0420-MSO-00001,13/09/2017,43,0420-MSO-00001,43,C018118,90006,2018118900066,BH,1
0420-MSO-00001,13/09/2017,44,0420-MSO-00001,44,C018120,90005,2018120900054,BH,1
0420-MSO-00001,13/09/2017,45,0420-MSO-00001,45,C018121,90005,2018121900053,BH,1
0420-MSO-00001,13/09/2017,46,0420-MSO-00001,46,C133595,90009,2133595900092,B,1
0420-MSO-00001,13/09/2017,47,0420-MSO-00001,47,C133597,90009,2133597900090,B,1
0420-MSO-00001,13/09/2017,48,0420-MSO-00001,48,C133608,90008,2133608900088,B,1
0420-MSO-00001,13/09/2017,49,0420-MSO-00001,49,C133611,90007,2133611900075,BH,1
0420-MSO-00001,13/09/2017,50,0420-MSO-00001,50,C133635,90007,2133635900075,BH,1
0420-MSO-00001,13/09/2017,51,0420-MSO-00001,51,C141928,90001,2141928900015,B,1
0420-MSO-00001,13/09/2017,52,0420-MSO-00001,52,C157656,90007,2157656900074,BH,1
0420-MSO-00001,13/09/2017,53,0420-MSO-00001,53,C157657,90004,2157657900042,BH,1
0420-MSO-00001,13/09/2017,54,0420-MSO-00001,54,C157751,90007,2157751900078,BH,1
0420-MSO-00001,13/09/2017,55,0420-MSO-00001,55,C157752,90004,2157752900046,BH,1
0420-MSO-00001,13/09/2017,56,0420-MSO-00001,56,C158150,90007,2158150900072,BH,1
0420-MSO-00001,13/09/2017,57,0420-MSO-00001,57,C158151,90007,2158151900071,BH,1
0420-MSO-00001,13/09/2017,58,0420-MSO-00001,58,C158152,90007,2158152900070,BH,1
0420-MSO-00001,13/09/2017,59,0420-MSO-00001,59,C158154,90008,2158154900085,BH,1
0420-MSO-00001,13/09/2017,60,0420-MSO-00001,60,C158155,90008,2158155900084,BH,1
0420-MSO-00001,13/09/2017,61,0420-MSO-00001,61,C158290,90007,2158290900079,BH,1
0420-MSO-00001,13/09/2017,62,0420-MSO-00001,62,C158291,90004,2158291900047,BH,1
0420-MSO-00001,13/09/2017,63,0420-MSO-00001,63,C158448,90010,2158448900104,BH,1
0420-MSO-00001,13/09/2017,64,0420-MSO-00001,64,C158462,90010,2158462900104,BH,1
0420-MSO-00001,13/09/2017,65,0420-MSO-00001,65,C158520,90008,2158520900084,BH,1
0420-MSO-00001,13/09/2017,66,0420-MSO-00001,66,C158723,90007,2158723900072,H,1
0420-MSO-00001,13/09/2017,67,0420-MSO-00001,67,C158806,90007,2158806900074,BH,1
0420-MSO-00001,13/09/2017,68,0420-MSO-00001,68,C230002,90006,2230002900062,BH,1
0420-MSO-00001,13/09/2017,69,0420-MSO-00001,69,C230004,90006,2230004900060,BH,1
0420-MSO-00001,13/09/2017,70,0420-MSO-00001,70,F269175,90008,3269175900080,BH,1
0420-MSO-00001,13/09/2017,71,0420-MSO-00001,71,F269180,90008,3269180900082,BH,1
0420-MSO-00001,13/09/2017,72,0420-MSO-00001,72,F269181,90008,3269181900081,BH,1
0420-MSO-00001,13/09/2017,73,0420-MSO-00001,73,F269187,90008,3269187900085,BH,1
0420-MSO-00001,13/09/2017,74,0420-MSO-00001,74,F269188,90008,3269188900084,BH,1
0420-MSO-00001,13/09/2017,75,0420-MSO-00001,75,F269228,90008,3269228900081,B,1
0420-MSO-00001,13/09/2017,76,0420-MSO-00001,76,F269230,90008,3269230900086,B,1
0420-MSO-00001,13/09/2017,77,0420-MSO-00001,77,F269231,90008,3269231900085,B,1
0420-MSO-00001,13/09/2017,78,0420-MSO-00001,78,F269232,90008,3269232900084,B,1
0420-MSO-00001,13/09/2017,79,0420-MSO-00001,79,F269336,90011,3269336900119,H,1
0420-MSO-00001,13/09/2017,80,0420-MSO-00001,80,F269379,90008,3269379900084,BH,1
0420-MSO-00001,13/09/2017,81,0420-MSO-00001,81,F269380,90008,3269380900080,BH,1
0420-MSO-00001,13/09/2017,82,0420-MSO-00001,82,F269383,90008,3269383900087,BH,1
0420-MSO-00001,13/09/2017,83,0420-MSO-00001,83,F269384,90008,3269384900086,BH,1
0420-MSO-00001,13/09/2017,84,0420-MSO-00001,84,F269385,90008,3269385900085,BH,1
0420-MSO-00001,13/09/2017,85,0420-MSO-00001,85,F269409,90007,3269409900077,BH,1
0420-MSO-00001,13/09/2017,86,0420-MSO-00001,86,F273032,90008,3273032900083,BH,1
0420-MSO-00001,13/09/2017,87,0420-MSO-00001,87,F273033,90008,3273033900082,BH,1
0420-MSO-00001,13/09/2017,88,0420-MSO-00001,88,F273057,90007,3273057900075,BH,1
0420-MSO-00001,13/09/2017,89,0420-MSO-00001,89,F273058,90007,3273058900074,BH,1
0420-MSO-00001,13/09/2017,90,0420-MSO-00001,90,F273116,90004,3273116900046,BH,1
0420-MSO-00001,13/09/2017,91,0420-MSO-00001,91,F273130,90005,3273130900053,BH,1
0420-MSO-00001,13/09/2017,92,0420-MSO-00001,92,F273131,90005,3273131900052,BH,0
0420-MSO-00001,13/09/2017,93,0420-MSO-00001,93,F273172,90005,3273172900059,BH,1
0420-MSO-00001,13/09/2017,94,0420-MSO-00001,94,F281791,90008,3281791900084,H,1
